,name,type,value,date
507,安徽省,,3246,2001
508,福建省,,4072,2001
509,江西省,,2175,2001
510,山东省,,9195,2001
511,河南省,,5533,2001
512,湖北省,,3880,2001
513,湖南省,,3831,2001
514,广东省,,12039,2001
515,广西壮族自治区,,2279,2001
516,海南省,,579,2001
517,重庆市,,1976,2001
518,四川省,,4293,2001
519,贵州省,,1133,2001
520,云南省,,2138,2001
521,西藏自治区,,139,2001
522,陕西省,,2010,2001
523,甘肃省,,1125,2001
524,青海省,,300,2001
525,宁夏回族自治区,,337,2001
526,新疆维吾尔自治区,,1491,2001
527,北京市,,3161,2000
528,天津市,,1701,2000
529,河北省,,5043,2000
530,山西省,,1845,2000
531,内蒙古自治区,,1539,2000
532,辽宁省,,4669,2000
533,吉林省,,1951,2000
534,黑龙江省,,3151,2000
535,上海市,,4771,2000
536,江苏省,,8553,2000
537,浙江省,,6141,2000
538,安徽省,,2902,2000
539,福建省,,3764,2000
540,江西省,,2003,2000
541,山东省,,8337,2000
542,河南省,,5052,2000
543,湖北省,,3545,2000
544,湖南省,,3551,2000
545,广东省,,10741,2000
546,广西壮族自治区,,2080,2000
547,海南省,,526,2000
548,重庆市,,1791,2000
549,四川省,,3928,2000
550,贵州省,,1029,2000
551,云南省,,2011,2000
552,西藏自治区,,117,2000
553,陕西省,,1804,2000
554,甘肃省,,1052,2000
555,青海省,,263,2000
556,宁夏回族自治区,,295,2000
557,新疆维吾尔自治区,,1363,2000
558,北京市,,2678,1999
559,天津市,,1500,1999
560,河北省,,4514,1999
561,山西省,,1667,1999
562,内蒙古自治区,,1379,1999
563,辽宁省,,4171,1999
564,吉林省,,1672,1999
565,黑龙江省,,2866,1999
566,上海市,,4188,1999
567,江苏省,,7697,1999
568,浙江省,,5443,1999
569,安徽省,,2712,1999
570,福建省,,3414,1999
571,江西省,,1853,1999
572,山东省,,7493,1999
573,河南省,,4517,1999
574,湖北省,,3229,1999
575,湖南省,,3214,1999
576,广东省,,9250,1999
577,广西壮族自治区,,1971,1999
578,海南省,,476,1999
579,重庆市,,1663,1999
580,四川省,,3649,1999
581,贵州省,,937,1999
582,云南省,,1899,1999
583,西藏自治区,,105,1999
584,陕西省,,1592,1999
585,甘肃省,,956,1999
586,青海省,,239,1999
587,宁夏回族自治区,,264,1999
588,新疆维吾尔自治区,,1163,1999
589,北京市,,2377,1998
590,天津市,,1374,1998
591,河北省,,4256,1998
592,山西省,,1611,1998
593,内蒙古自治区,,1262,1998
594,辽宁省,,3881,1998
595,吉林省,,1577,1998
596,黑龙江省,,2774,1998
597,上海市,,3801,1998
598,江苏省,,7199,1998
599,浙江省,,5052,1998
600,安徽省,,2542,1998
601,福建省,,3159,1998
602,江西省,,1719,1998
603,山东省,,7021,1998
604,河南省,,4308,1998
605,湖北省,,3114,1998
606,湖南省,,3025,1998
607,广东省,,8530,1998
608,广西壮族自治区,,1911,1998
609,海南省,,442,1998
610,重庆市,,1602,1998
611,四川省,,3474,1998
612,贵州省,,858,1998
613,云南省,,1831,1998
614,西藏自治区,,91,1998
615,陕西省,,1458,1998
616,甘肃省,,887,1998
617,青海省,,220,1998
618,宁夏回族自治区,,245,1998
619,新疆维吾尔自治区,,1106,1998
620,北京市,,2077,1997
621,天津市,,1264,1997
622,河北省,,3953,1997
623,山西省,,1476,1997
624,内蒙古自治区,,1153,1997
625,辽宁省,,3582,1997
626,吉林省,,1464,1997
627,黑龙江省,,2667,1997
628,上海市,,3438,1997
629,江苏省,,6680,1997
630,浙江省,,4686,1997
631,安徽省,,2347,1997
632,福建省,,2870,1997
633,江西省,,1605,1997
634,山东省,,6537,1997
635,河南省,,4041,1997
636,湖北省,,2856,1997
637,湖南省,,2849,1997
638,广东省,,7774,1997
639,广西壮族自治区,,1817,1997
640,海南省,,411,1997
641,重庆市,,1509,1997
642,四川省,,3241,1997
643,贵州省,,805,1997
644,云南省,,1676,1997
645,西藏自治区,,77,1997
646,陕西省,,1363,1997
647,甘肃省,,793,1997
648,青海省,,202,1997
649,宁夏回族自治区,,224,1997
650,新疆维吾尔自治区,,1039,1997
651,北京市,,1789,1996
652,天津市,,1121,1996
653,河北省,,3452,1996
654,山西省,,1292,1996
655,内蒙古自治区,,1023,1996
656,辽宁省,,3157,1996
657,吉林省,,1346,1996
658,黑龙江省,,2370,1996
659,上海市,,2957,1996
660,江苏省,,6004,1996
661,浙江省,,4188,1996
662,安徽省,,2093,1996
663,福建省,,2484,1996
664,江西省,,1409,1996
665,山东省,,5883,1996
666,河南省,,3634,1996
667,湖北省,,2499,1996
668,湖南省,,2540,1996
669,广东省,,6834,1996
670,广西壮族自治区,,1697,1996
671,海南省,,389,1996
672,重庆市,,1315,1996
673,四川省,,2871,1996
674,贵州省,,723,1996
675,云南省,,1517,1996
676,西藏自治区,,64,1996
677,陕西省,,1215,1996
678,甘肃省,,722,1996
679,青海省,,184,1996
680,宁夏回族自治区,,202,1996
681,新疆维吾尔自治区,,900,1996
682,北京市,,1507,1995
683,天津市,,931,1995
684,河北省,,2849,1995
685,山西省,,1076,1995
686,内蒙古自治区,,857,1995
687,辽宁省,,2793,1995
688,吉林省,,1137,1995
689,黑龙江省,,1991,1995
690,上海市,,2499,1995
691,江苏省,,5155,1995
692,浙江省,,3557,1995
693,安徽省,,1810,1995
694,福建省,,2094,1995
695,江西省,,1169,1995
696,山东省,,4953,1995
697,河南省,,2988,1995
698,湖北省,,2109,1995
699,湖南省,,2132,1995
700,广东省,,5933,1995
701,广西壮族自治区,,1497,1995
702,海南省,,363,1995
703,重庆市,,1123,1995
704,四川省,,2443,1995
705,贵州省,,636,1995
706,云南省,,1222,1995
707,西藏自治区,,56,1995
708,陕西省,,1036,1995
709,甘肃省,,557,1995
710,青海省,,167,1995
711,宁夏回族自治区,,175,1995
712,新疆维吾尔自治区,,814,1995
713,北京市,,1145,1994
714,天津市,,732,1994
715,河北省,,2187,1994
716,山西省,,826,1994
717,内蒙古自治区,,695,1994
718,辽宁省,,2461,1994
719,吉林省,,937,1994
720,黑龙江省,,1604,1994
721,上海市,,1990,1994
722,江苏省,,4057,1994
723,浙江省,,2689,1994
724,安徽省,,1320,1994
725,福建省,,1644,1994
726,江西省,,948,1994
727,山东省,,3844,1994
728,河南省,,2216,1994
729,湖北省,,1700,1994
730,湖南省,,1650,1994
731,广东省,,4619,1994
732,广西壮族自治区,,1198,1994
733,海南省,,331,1994
734,重庆市,,833,1994
735,四川省,,2001,1994
736,贵州省,,524,1994
737,云南省,,983,1994
738,西藏自治区,,45,1994
739,陕西省,,839,1994
740,甘肃省,,453,1994
741,青海省,,138,1994
742,宁夏回族自治区,,136,1994
743,新疆维吾尔自治区,,662,1994
744,北京市,,886,1993
745,天津市,,538,1993
746,河北省,,1690,1993
747,山西省,,680,1993
748,内蒙古自治区,,537,1993
749,辽宁省,,2010,1993
750,吉林省,,718,1993
751,黑龙江省,,1198,1993
752,上海市,,1519,1993
753,江苏省,,2998,1993
754,浙江省,,1925,1993
755,安徽省,,1037,1993
756,福建省,,1114,1993
757,江西省,,723,1993
758,山东省,,2770,1993
759,河南省,,1660,1993
760,湖北省,,1325,1993
761,湖南省,,1244,1993
762,广东省,,3469,1993
763,广西壮族自治区,,871,1993
764,海南省,,260,1993
765,重庆市,,608,1993
766,四川省,,1486,1993
767,贵州省,,417,1993
768,云南省,,783,1993
769,西藏自治区,,37,1993
770,陕西省,,678,1993
771,甘肃省,,372,1993
772,青海省,,109,1993
773,宁夏回族自治区,,104,1993
774,新疆维吾尔自治区,,495,1993
